index,Year,Month,Tmax,Tmin,Rain,Sun,
600,2007,1,10.5,5.1,56,56.6,
601,2007,2,9.9,3.9,92.9,59.3,
602,2007,3,12.5,4.4,43.8,164.7,
603,2007,4,18.9,7.7,3.6,224.6,
604,2007,5,17.9,9.7,80,149.6,
605,2007,6,21.2,12.6,63.8,139.7,
606,2007,7,21.4,13.1,115.2,159.9,
607,2007,8,21.5,12.9,41,192.6,
608,2007,9,19.9,11.4,17.4,141.1,
609,2007,10,15.4,8.5,37.8,98.4,
610,2007,11,11.4,4.6,84.8,81.3,
611,2007,12,8.9,3.1,44.6,61.4,
612,2008,1,10.4,4.7,69,60.2,
613,2008,2,11,2,15.4,130,
614,2008,3,10.6,3.7,69.8,85.7,
615,2008,4,13.7,5.2,63.4,140.3,
616,2008,5,19.8,10.5,64.2,162.6,
617,2008,6,20.8,11.9,45.6,201.9,
618,2008,7,22.8,13.7,76.8,172.5,
619,2008,8,21.5,14.2,64.4,104.3,
620,2008,9,18.5,11.2,43,110.7,
621,2008,10,15,6.8,45,134.4,
622,2008,11,10.7,5.2,58.8,42.2,
623,2008,12,7.3,1.7,41.2,65.1,
624,2009,1,6.8,0.3,72.4,63.2,
625,2009,2,7.8,2.1,69.6,59.2,
626,2009,3,12.9,3.7,30,158.5,
627,2009,4,16.1,7.2,28,172.8,
628,2009,5,19.1,9.4,29.8,193.9,
629,2009,6,22.4,12.2,34,192.8,
630,2009,7,23,13.7,71.4,155.8,
631,2009,8,23.9,14.1,39.6,167.6,
632,2009,9,20.5,12,36,137.3,
633,2009,10,16.3,9.3,39.4,84.7,
634,2009,11,12.6,7.4,148,62.4,
635,2009,12,7,1.3,84.6,60.3,
636,2010,1,4.5,-0.3,51.8,51.3,
637,2010,2,6.9,1.7,100.4,46.7,
638,2010,3,11.1,3.7,39.8,106.4,
639,2010,4,15.8,5.6,23.2,201.7,
640,2010,5,17.3,7.7,20.6,170.4,
641,2010,6,23.5,12.1,12.4,220.1,
642,2010,7,25,15.1,18,161.8,
643,2010,8,21.6,13.2,88.6,110.9,
644,2010,9,19.4,11.2,38.2,128.7,
645,2010,10,15.2,8.3,74.8,104,
646,2010,11,9.1,4,32.2,50,
647,2010,12,3.9,-1.5,21.4,18.5,
648,2011,1,7.4,2.8,76.8,35.6,
649,2011,2,10.2,4.8,42.8,36.2,
650,2011,3,12.3,3.8,14.6,126.4,
651,2011,4,19.7,8.6,2.4,218,
652,2011,5,19.4,9.4,24.6,218,
653,2011,6,20.7,11,84,173.5,
654,2011,7,21.7,12.6,49.8,173.6,
655,2011,8,21.8,13.4,68.8,144.1,
656,2011,9,21.3,12.4,35,161.2,
657,2011,10,18.1,10.1,18.4,140.4,
658,2011,11,13.6,7.3,29,52.5,
659,2011,12,9.9,3.8,63,60.6,
660,2012,1,9.8,3.4,34.4,68.5,
661,2012,2,8,1.3,16.8,84.9,
662,2012,3,14.7,4.7,16.2,180.3,
663,2012,4,13.3,4.9,98.4,141.7,
664,2012,5,18.2,9.7,25.4,166.6,
665,2012,6,19.4,11.6,110.8,118.5,
666,2012,7,21.3,13.2,71.8,161.6,
667,2012,8,23.5,14.3,36.4,182.6,
668,2012,9,20,10.3,41.2,178.9,
669,2012,10,14.2,8,88.4,85.6,
670,2012,11,11,4.6,71.8,75.4,
671,2012,12,9,2.6,95.8,58,
672,2013,1,6.5,2,50.1,34.5,
673,2013,2,6.7,1.2,32.8,64.9,
674,2013,3,6.9,1.2,52.8,62.3,
675,2013,4,13.5,4.7,34,162.8,
676,2013,5,16.4,7.7,41.8,163.3,
677,2013,6,20.3,11.2,11.6,157.5,
678,2013,7,27,15.2,25.2,268.2,
679,2013,8,24.3,14.3,32.6,198.7,
680,2013,9,19.7,11.1,49.6,118.9,
681,2013,10,17,10.6,81.4,89.6,
682,2013,11,10.4,4.7,50,80.4,
683,2013,12,10.2,3.5,98.2,51.3,
684,2014,1,10,3.8,162.4,68.3,
685,2014,2,10.6,4.4,89.8,91.7,
686,2014,3,14.1,4.4,27.8,161.4,
687,2014,4,16.1,7.5,58,156.9,
688,2014,5,18,9.8,84.6,178.8,
689,2014,6,22.1,12.5,40.8,220.2,
690,2014,7,25.8,15,50,246.4,
691,2014,8,21.7,12.7,97.6,183.6,
692,2014,9,21.5,12.8,10.8,134.6,
693,2014,10,17.6,11,76,103.8,
694,2014,11,12.5,6.9,128.4,51.1,
695,2014,12,9.2,3,37.8,71.6,
696,2015,1,8.8,1.6,63.4,62,
697,2015,2,8,1.8,38.6,63.9,
698,2015,3,11.6,4.1,24,140.7,
699,2015,4,16.3,6,16.2,212.1,
